post_id,campaign,platform,format,hook,body,cta,visual_brief,proof_requirement,trust_risk,approval_status
MGW-001,Recognition,LinkedIn,text,"Your team may not have an execution problem.","It may have a GroundWork problem: unclear ownership, competing definitions of success, and decisions that never became operating agreements. More activity will not repair a weak foundation. Before adding another tool or meeting, name the outcome, owner, decision rights, and first proof that the work is moving.","What part of the foundation is least clear?","Minimal foundation diagram with four labeled blocks: Outcome, Owner, Decisions, Proof","None; conceptual post","Avoid implying every execution issue has one cause",Review
MGW-002,Recognition,Instagram,carousel,"Five signs the project started too early","1. Everyone uses the same words differently. 2. The deadline exists, but the decision path does not. 3. Work is assigned before success is defined. 4. The team adds tools instead of resolving ownership. 5. Progress is reported as activity rather than evidence.","Save this before your next kickoff.","Six-slide carousel; cover plus one sign per slide","None; conceptual post","Do not diagnose specific organizations",Review
MGW-003,Education,LinkedIn,text,"A kickoff meeting is not a foundation.","A useful kickoff should leave the team with five durable outputs: a shared outcome, explicit scope, named decision owners, a visible operating rhythm, and a first test of progress. If those outputs do not exist after the meeting, the project has been introduced—not grounded.","Use this as your next kickoff checklist.","Checklist card with five outputs","None",Low,Review
MGW-004,Education,Instagram,carousel,"The four layers of solid GroundWork","Layer 1: Purpose—why this work matters now. Layer 2: Direction—what outcome and boundaries govern it. Layer 3: Operating system—who decides, acts, and communicates. Layer 4: Evidence—what will show that the work is real.","Which layer is missing in your current work?","Layered earth/foundation illustration","None",Low,Review
MGW-005,Proof,LinkedIn,text,"Good strategy becomes visible in operating choices.","A strategy is not complete when the language sounds compelling. It becomes usable when priorities change, resources move, owners are named, tradeoffs are accepted, and progress can be inspected. Mission GroundWork focuses on that translation—from ambition to an operating foundation.","Follow for practical operating frameworks.","Strategy-to-operations bridge diagram","Link a case when available","Avoid implying proprietary proof without evidence",Review
MGW-006,Offer,LinkedIn,text,"Before you hire more capacity, test the foundation.","When a team feels overloaded, the first instinct is often to add a person, platform, or process. Sometimes that is necessary. Sometimes the real issue is unresolved scope, duplicated ownership, or work that should stop. A GroundWork Diagnostic is designed to identify which problem you actually have before you invest further.","Request a GroundWork Diagnostic when the intake page is live.","Decision tree: capacity vs foundation","Working intake URL required before approval","CTA cannot publish before destination works",Draft
MGW-007,Recognition,Instagram,reel,"Busy is not the same as aligned.","Three quick checks: Can everyone state the same outcome? Does each major decision have an owner? Can the team name the next proof point? If not, pause the acceleration and repair the foundation.","Share with the person leading your next initiative.","15-second kinetic typography with three checks","None","Avoid shaming overloaded teams",Review
MGW-008,Education,LinkedIn,text,"Decision rights are a delivery tool.","Projects slow down when people do not know who recommends, who decides, who executes, and who must be consulted. A lightweight decision map often creates more speed than another status meeting because it removes invisible negotiation from routine work.","Map one recurring decision today.","RACI alternative with Recommend, Decide, Execute, Consult","None",Low,Review
MGW-009,Education,Instagram,carousel,"Replace status updates with evidence updates","Instead of: We met with partners. Use: Three partners reviewed the draft; two approved and one identified a policy conflict. Instead of: The campaign is moving. Use: The landing page converted 18 of 240 visitors. Evidence makes the next decision possible.","Rewrite one update using evidence.","Before/after status cards","Any numeric example must be labeled illustrative","Illustrative numbers could be mistaken for client data",Review
MGW-010,Founder,LinkedIn,text,"I built Mission GroundWork around a recurring pattern.","Across programs, partnerships, fundraising, communications, and operations, teams often begin important work before the shared operating foundation exists. The resulting friction is treated as a people problem or motivation problem when it is frequently a design problem. GroundWork makes that foundation visible and usable.","What kind of work repeatedly loses clarity in your organization?","Portrait or simple founder note card","Use only verified experience already in canonical materials","Avoid overstating breadth beyond documented work",Review
MGW-011,Recognition,LinkedIn,text,"The tool is rarely the first decision.","Before choosing software, define the workflow, owner, required evidence, handoffs, exception path, and review rhythm. Otherwise the team automates ambiguity and pays to preserve it.","Use this before your next platform purchase.","Tool sitting atop cracked workflow foundation","None",Low,Review
MGW-012,Education,Instagram,carousel,"A practical ownership map","For each workstream, name: Accountable owner, active contributors, decision boundary, next deliverable, due signal, and escalation path. This is lighter than a complex governance chart and stronger than assuming everyone knows.","Screenshot this ownership map.","Six-field template carousel","None",Low,Review
MGW-013,Offer,LinkedIn,text,"What happens in a GroundWork Sprint?","The sprint is structured to clarify the outcome, surface hidden assumptions, define decision and ownership rules, build the operating map, and produce a handoff the team can actually use. The work is bounded; the goal is not endless consulting dependence.","Join the review list when the service page is live.","Sprint timeline with five stages","Working destination required","Do not publish unverified offer details as final",Draft
MGW-014,Education,YouTube,short,"Why projects fail before execution","Many projects are weakened before the first task is assigned. The team has not aligned on the outcome, scope, decision rights, or evidence. This short explains the four foundation checks to run before launch.","Use the checklist in the description.","Talking-head or animated foundation blocks","Checklist link required","Avoid claiming a universal failure cause",Draft
MGW-015,Proof,LinkedIn,document,"From activity report to operating dashboard","Page 1: Activity is not proof. Page 2: Define the outcome. Page 3: Select one leading signal. Page 4: Select one result signal. Page 5: Name who acts when the signal changes. Page 6: Review on a fixed rhythm.","Download or save the six-page framework.","LinkedIn document with dashboard transformation","Framework itself is proof artifact","Do not present illustrative metrics as actual",Review
MGW-016,Recognition,Instagram,static,"Confusion compounds.","One unclear decision creates duplicated work. Duplicated work creates delay. Delay creates urgency. Urgency creates shortcuts. GroundWork interrupts the cycle before the symptoms become the culture.","Pause and locate the first unclear decision.","Circular compounding loop graphic","None","Avoid blaming culture on one mechanism",Review
MGW-017,Education,LinkedIn,text,"Scope is a protection mechanism.","Clear scope does more than control workload. It protects the outcome from dilution, protects staff from invisible obligations, and gives leaders a principled way to say not now. A useful scope statement includes what is included, excluded, deferred, and required for reconsideration.","Add an exclusion line to your current scope.","Four-quadrant scope card","None",Low,Review
MGW-018,Education,Instagram,carousel,"The smallest useful operating rhythm","Weekly: inspect evidence and unblock decisions. Monthly: review outcomes, capacity, and risks. Quarterly: decide what to continue, reshape, connect, or stop. The rhythm should serve decisions—not produce meetings for their own sake.","Which meeting can become a decision review?","Calendar rhythm graphic","None","Cadence is contextual, not universal",Review
MGW-019,Founder,LinkedIn,text,"GroundWork is not a promise of perfect execution.","No framework removes uncertainty, conflict, or change. The promise is narrower and more useful: make assumptions visible, define how the work will operate, and create enough shared ground for the team to learn without unnecessary confusion.","Follow the build as Mission GroundWork develops.","Plain-language promise card","None",Low,Review
MGW-020,Offer,Instagram,carousel,"Which GroundWork lane fits?","Executive: leadership alignment and decision design. Development: campaigns, donor systems, and fundraising operations. Program: delivery model and implementation foundation. Communications: message, audience, and production alignment. Operations: workflow, ownership, and systems.","Choose the lane closest to your current challenge.","Five-lane pathway graphic","Service definitions must match live page","Do not imply availability before launch",Draft
MGW-021,Recognition,LinkedIn,text,"A project can be on time and still be unhealthy.","Schedule adherence does not reveal whether staff are absorbing hidden work, decisions are being deferred, risks are being concealed, or the outcome still matters. Strong reviews inspect delivery, evidence, capacity, and consequence together.","Add one health question to your next review.","Four-part project health gauge","None",Low,Review
MGW-022,Education,Instagram,reel,"Three questions before saying yes","1. What outcome does this advance? 2. What existing commitment will move or stop? 3. Who owns the decision and follow-through? A responsible yes includes the tradeoff.","Save this for the next urgent request.","Fast text animation with three questions","None",Low,Review
MGW-023,Education,LinkedIn,text,"Handoffs fail when context disappears.","A durable handoff should contain the intended outcome, current state, decisions already made, open risks, owner map, next action, and source files. Sending a folder without this context transfers documents—not responsibility.","Use these seven fields in your next handoff.","Handoff packet visual","None",Low,Review
MGW-024,Proof,Instagram,carousel,"A proof-of-work case format","1. Situation. 2. Constraint. 3. Decision. 4. Operating action. 5. Measured result. 6. What changed afterward. This structure shows how the work happened without turning people into marketing material.","Use this to document one completed project.","Six-card case-study template","Actual cases require permission and sources","Privacy and consent",Review
MGW-025,Recognition,LinkedIn,text,"Your team does not need identical perspectives.","Alignment is not sameness. It means people understand the shared outcome, decision process, constraints, and how disagreement will be handled. A team can preserve real difference and still operate coherently.","Define how disagreement becomes a decision.","Diverse paths converging on shared operating ground","None","Avoid flattening conflict or power dynamics",Review
MGW-026,Education,Substack,note,"The foundation audit","Ask: Is the outcome specific enough to guide tradeoffs? Is the scope explicit? Are decision rights named? Does the operating rhythm produce decisions? Is progress evidenced? Are people protected from avoidable ambiguity? Any no answer identifies GroundWork to repair.","Run the six-question audit.","Printable audit sheet","None",Low,Review
MGW-027,Offer,LinkedIn,text,"The best consulting handoff reduces dependence.","Mission GroundWork is designed to leave the team with an operating artifact they can own: a decision map, implementation spine, working rhythm, proof structure, or scoped system. The engagement should make the work more governable after the consultant leaves.","Review the service page when published.","Consultant-to-team ownership transfer graphic","Working service page required","Do not imply completed engagements without proof",Draft
MGW-028,Education,Instagram,carousel,"When to stop adding process","Stop when the process no longer improves a decision, protects a person, preserves evidence, or reduces meaningful risk. Process is infrastructure, not virtue. Every recurring step should earn its place.","Audit one recurring process this week.","Process filter with four tests","None",Low,Review
MGW-029,Recognition,LinkedIn,text,"Urgency can hide an unresolved choice.","When everything becomes urgent, ask which decision has been postponed. Teams often accelerate tasks around an issue because naming the tradeoff feels harder than doing more work. GroundWork brings the choice back into view.","Name the decision beneath the urgency.","Spotlight revealing decision beneath urgent tasks","None","Do not imply all urgency is avoidable",Review
MGW-030,Launch,LinkedIn,text,"Mission GroundWork is being built in public—with receipts.","The product will not be called launched because a repository exists or a page looks polished. Launch requires a working destination, tested intake, inspectable proof, and real reception. Until then, each asset remains clearly labeled Draft, Review, Built, or Shipped.","Follow the production-to-publish ledger.","Four-state pipeline: Draft → Review → Built → Shipped","Link to public ledger when available","Do not expose private repository links",Review
